,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
0,1,602,6,3,270,250,30000,120.0
1,1,486,6,3,195,192,16320,85.0
2,1,359,6,3,160,80,8800,110.0
3,1,210,6,3,120,70,1400,20.0
4,1,777,6,3,70,52,5720,110.0
5,1,930,6,3,56,20,2340,120.0
6,1,929,6,3,50,5,60,12.0
7,1,494,6,3,46,42,4872,116.0
8,1,410,6,3,25,18,2160,120.0
9,1,836,6,3,23,23,2990,130.0
10,1,75,6,3,20,18,1080,60.0
11,1,678,6,3,20,13,1560,120.0
12,1,149,6,3,15,11,880,80.0
13,1,398,6,3,15,15,1350,90.0
14,1,771,6,3,14,0,0,0.0
15,1,91,6,3,14,15,1050,70.0
16,1,451,6,3,12,11,83,7.5
17,1,975,6,3,12,5,105,21.0
18,1,58,6,3,12,4,640,160.0
19,1,312,6,3,11,9,1350,150.0
20,1,29,6,3,8,7,182,26.0
21,1,930,6,3,7,6,44,8.0
22,1,392,6,3,7,5,200,40.0
23,1,133,6,3,7,6,600,100.0
24,1,783,6,3,6,4,48,12.0
25,1,133,6,3,6,5,50,10.0
26,1,119,6,3,6,4,60,15.0
27,1,87,6,3,6,4,62,16.0
28,1,35,6,3,6,5,90,18.0
29,1,339,6,3,6,6,900,150.0
30,1,360,6,3,6,5,950,190.0
31,1,892,6,3,5,2,24,16.0
32,1,243,6,3,5,5,100,20.0
33,1,252,6,3,5,5,150,30.0
34,1,344,6,3,5,4,210,60.0
35,1,793,6,3,5,3,372,120.0
36,1,805,6,3,5,23,2530,110.0
37,1,376,6,3,4,2,48,24.0
38,1,516,6,3,3,0,0,0.0
39,1,941,6,3,3,2,16,8.0
40,1,293,6,3,3,3,400,160.0
41,1,35,6,3,3,4,600,150.0
42,1,337,6,3,2,0,0,0.0
43,1,337,6,3,2,1,63,90.0
44,1,769,6,3,2,1,105,95.0
45,1,314,6,3,2,1,146,133.0
46,1,416,6,3,1,1,5,5.0
47,1,892,6,3,1,0,9,90.0
48,1,350,6,3,1,1,18,30.0
49,1,799,6,3,1,0,45,150.0
50,1,532,6,3,1,1,50,100.0
51,1,718,6,3,1,1,55,110.0
52,1,630,6,3,1,3,66,22.0
53,1,252,6,3,1,1,70,70.0
54,1,152,6,3,1,1,84,140.0
55,1,209,6,3,1,1,100,100.0
56,1,396,6,3,1,3,177,59.0
57,1,248,6,3,1,3,330,110.0
58,1,396,6,3,1,5,950,190.0
59,1,897,6,3,0,0,22,110.0
60,1,392,6,3,0,0,36,120.0
61,1,864,6,3,0,2,240,120.0
62,3,698,6,3,6,0,0,0.0
63,3,475,6,3,0,1,10,10.0
64,3,611,6,3,0,6,30,5.0
65,3,804,6,3,0,5,90,20.0
66,3,676,6,3,0,30,666,22.0
67,5,954,6,3,90,20,600,30.0
68,5,856,6,3,90,20,1100,55.0
69,5,704,6,3,50,50,2850,57.0
70,5,797,6,3,50,45,4500,100.0
71,5,704,6,3,45,39,5460,140.0
72,5,889,6,3,32,12,1080,90.0
73,5,541,6,3,30,23,377,16.4
74,5,95,6,3,30,30,1800,60.0
75,5,671,6,3,25,25,750,30.0
76,5,332,6,3,23,25,875,35.0
77,5,367,6,3,20,15,810,54.0
78,5,226,6,3,20,17,850,50.0
79,5,514,6,3,18,18,540,30.0
80,5,877,6,3,18,14,1680,120.0
81,5,271,6,3,15,9,108,12.0
82,5,883,6,3,15,10,248,23.8
83,5,95,6,3,12,10,300,30.0
84,5,106,6,3,11,0,0,0.0
85,5,464,6,3,11,0,0,0.0
86,5,810,6,3,10,7,196,28.0
87,5,409,6,3,10,8,210,28.0
88,5,877,6,3,10,15,420,28.0
89,5,763,6,3,10,10,450,45.0
90,5,409,6,3,10,7,780,120.0
91,5,857,6,3,10,8,1024,128.0
92,5,362,6,3,8,0,0,0.0
93,5,586,6,3,8,4,160,40.0
94,5,712,6,3,7,4,80,20.0
95,5,918,6,3,7,5,325,65.0
96,5,694,6,3,6,4,160,40.0
97,5,503,6,3,6,8,1050,140.0
98,5,362,6,3,5,0,0,0.0
99,5,565,6,3,5,32,3200,100.0
100,5,90,6,3,4,3,200,80.0
101,5,986,6,3,4,4,441,126.0
102,5,828,6,3,3,0,0,0.0
103,5,398,6,3,3,2,16,8.0
104,5,831,6,3,3,1,35,35.0
105,5,835,6,3,3,3,98,35.0
106,5,23,6,3,3,3,219,73.0
107,5,592,6,3,2,0,0,0.0
108,5,439,6,3,2,1,14,14.0
109,5,732,6,3,2,2,126,69.8
110,5,300,6,3,0,8,160,20.0
111,5,569,6,3,0,3,208,83.0
112,5,890,6,3,0,7,276,40.0
113,6,480,6,3,122,108,2819,26.1
114,6,180,6,3,73,70,1750,25.0
115,6,489,6,3,45,1,2,2.0
116,6,11,6,3,25,20,520,26.0
117,6,713,6,3,20,12,240,20.0
118,6,950,6,3,20,15,278,18.5
119,6,48,6,3,15,15,450,30.0
120,6,40,6,3,14,13,221,17.0
121,6,40,6,3,13,12,384,32.0
122,6,852,6,3,12,9,45,5.0
123,6,960,6,3,12,11,1430,130.0
124,6,83,6,3,7,0,0,0.0
125,6,537,6,3,7,7,84,12.0
126,6,576,6,3,6,6,120,20.0
127,6,970,6,3,6,5,350,70.0
128,6,482,6,3,6,7,770,110.0
129,6,688,6,3,5,3,54,18.0
130,6,423,6,3,4,0,0,0.0
131,6,489,6,3,2,0,0,0.0
132,6,48,6,3,2,2,75,50.0
133,6,598,6,3,1,0,12,48.0
134,6,689,6,3,1,1,25,25.0
135,6,707,6,3,1,4,100,25.0
136,7,779,6,3,10,0,0,0.0
137,7,240,6,3,2,1,24,30.0
138,8,862,6,3,5,0,0,0.0
139,8,699,6,3,1,1,36,40.0
140,9,99,6,3,153,145,17255,119.0
141,9,432,6,3,21,35,3150,90.0
142,9,500,6,3,18,16,160,10.0
143,9,504,6,3,15,11,275,25.0
144,9,220,6,3,11,0,0,0.0
145,9,849,6,3,10,6,19,3.2
146,9,287,6,3,10,6,300,50.0
147,9,888,6,3,8,105,1890,18.0
148,9,606,6,3,6,4,320,80.0
149,9,302,6,3,5,0,0,0.0
150,9,71,6,3,5,4,40,10.0
151,9,775,6,3,5,8,80,10.0
152,9,128,6,3,4,0,0,0.0
153,9,394,6,3,4,0,0,0.0
154,9,791,6,3,4,3,30,10.0
155,9,107,6,3,3,2,3,1.5
156,9,348,6,3,3,3,12,4.0
157,9,128,6,3,3,2,248,124.0
158,9,846,6,3,2,0,0,0.0
159,9,123,6,3,2,2,6,4.0
160,9,956,6,3,2,1,10,10.0
161,9,903,6,3,2,1,25,25.0
162,9,622,6,3,1,0,0,0.0
163,9,775,6,3,1,1,1,1.0
164,9,455,6,3,1,1,3,5.0
165,9,903,6,3,1,1,21,21.0
166,9,695,6,3,1,1,98,75.0
167,9,302,6,3,0,3,50,20.0
168,9,846,6,3,0,1,60,60.0
169,10,426,6,3,130,85,1020,12.0
170,10,861,6,3,103,0,0,0.0
171,10,13,6,3,83,35,420,12.0
172,10,680,6,3,50,38,684,18.0
173,10,419,6,3,23,22,264,12.0
174,10,342,6,3,15,15,270,18.0
175,10,939,6,3,12,14,224,16.0
176,10,628,6,3,6,80,800,10.0
177,10,478,6,3,6,6,60,10.0
178,11,150,6,3,3,3,42,14.0
179,12,772,6,3,1,1,12,12.0
180,13,142,6,3,120,110,8800,80.0
181,13,307,6,3,108,112,11236,100.6
182,13,320,6,3,100,108,1404,13.0
183,13,142,6,3,80,95,2375,25.0
184,13,922,6,3,74,42,1260,30.0
185,13,876,6,3,65,53,4830,91.1
186,13,663,6,3,41,39,1560,40.0
187,13,729,6,3,39,0,0,0.0
188,13,52,6,3,37,32,256,8.0
189,13,319,6,3,25,12,330,27.5
190,13,351,6,3,23,25,325,13.0
191,13,854,6,3,19,0,0,0.0
192,13,116,6,3,19,11,198,18.0
193,13,566,6,3,19,17,1275,75.0
194,13,481,6,3,18,21,486,23.1
195,13,38,6,3,17,15,295,19.7
196,13,424,6,3,15,8,96,12.0
197,13,425,6,3,13,0,0,0.0
198,13,971,6,3,10,2,9,6.0
199,13,881,6,3,10,5,75,15.0
200,13,657,6,3,10,12,120,10.0
201,13,809,6,3,10,12,180,15.0
202,13,966,6,3,9,8,74,8.9
203,13,722,6,3,8,5,110,22.0
204,13,320,6,3,8,8,720,90.0
205,13,193,6,3,8,9,1020,120.0
206,13,987,6,3,7,6,108,18.0
207,13,884,6,3,6,0,0,0.0
208,13,725,6,3,6,5,80,16.0
209,13,735,6,3,5,1,10,19.0
210,13,944,6,3,5,4,60,15.0
211,13,399,6,3,4,1,6,6.2
212,13,750,6,3,4,3,45,15.0
213,13,495,6,3,3,0,0,0.0
214,13,949,6,3,3,3,45,15.0
215,13,344,6,3,3,1,50,50.0
216,13,349,6,3,2,0,0,0.0
217,13,895,6,3,2,0,0,0.0
218,13,851,6,3,2,1,6,7.0
219,13,438,6,3,2,1,16,16.0
220,13,310,6,3,2,2,252,126.0
221,13,902,6,3,1,1,40,79.0
222,13,725,6,3,1,1,40,40.0
223,13,921,6,3,1,1,45,45.0
224,13,850,6,3,1,1,80,80.0
225,13,895,6,3,0,1,12,12.0
226,13,921,6,3,0,3,54,18.0
227,13,854,6,3,0,18,180,10.0
228,16,614,6,3,128,126,1890,15.0
229,16,5,6,3,80,55,990,18.0
230,16,21,6,3,50,40,640,16.0
231,16,873,6,3,50,55,880,16.0
232,16,428,6,3,33,30,480,16.0
233,16,390,6,3,30,23,345,15.0
234,16,135,6,3,30,27,432,16.0
235,16,333,6,3,27,30,480,16.0
236,16,205,6,3,25,10,100,10.0
237,16,716,6,3,25,23,338,15.0
238,16,389,6,3,19,12,156,13.0
239,16,690,6,3,15,10,143,15.0
240,16,350,6,3,15,9,144,16.0
241,16,538,6,3,15,15,233,15.5
242,16,847,6,3,14,13,195,15.0
243,16,533,6,3,10,6,61,11.0
244,16,335,6,3,10,10,150,15.0
245,16,869,6,3,10,10,150,15.0
246,16,879,6,3,10,10,160,16.0
247,16,73,6,3,8,2,30,15.0
248,16,380,6,3,8,6,96,16.0
249,16,570,6,3,8,8,120,15.0
250,16,789,6,3,8,11,154,14.0
251,16,406,6,3,7,8,120,15.0
252,16,887,6,3,5,3,60,20.0
253,16,576,6,3,5,5,75,15.0
254,16,7,6,3,5,8,120,15.0
255,16,558,6,3,5,15,225,15.0
256,16,25,6,3,4,3,45,15.0
257,16,706,6,3,4,3,60,20.0
258,16,880,6,3,3,2,23,15.0
259,16,290,6,3,2,2,24,12.0
260,16,14,6,3,2,4,64,16.0
261,16,613,6,3,1,10,150,15.0
262,16,965,6,3,1,0,0,0.0
263,17,686,6,3,45,53,530,10.0
264,17,79,6,3,40,29,174,6.0
265,17,308,6,3,12,16,320,20.0
266,17,931,6,3,10,0,0,0.0
267,17,961,6,3,10,5,50,10.0
268,17,472,6,3,10,8,56,7.0
269,17,246,6,3,10,7,105,15.0
270,17,420,6,3,10,8,144,18.0
271,17,752,6,3,4,22,220,10.0
272,17,274,6,3,2,0,0,0.0
273,17,16,6,3,0,5,75,15.0
274,18,196,6,3,140,50,350,7.0
275,18,316,6,3,80,45,585,13.0
276,18,826,6,3,42,30,450,15.0
277,18,989,6,3,27,0,0,0.0
278,18,20,6,3,25,15,225,15.0
279,18,675,6,3,25,17,255,15.0
280,18,790,6,3,20,20,260,13.0
281,18,707,6,3,10,9,108,12.0
282,18,47,6,3,10,0,0,0.0
283,19,761,6,3,28,25,575,23.0
284,19,754,6,3,7,5,100,20.0
285,19,114,6,3,4,0,0,0.0
286,19,354,6,3,2,2,3,1.5
287,20,714,6,3,90,25,3500,140.0
288,20,15,6,3,88,85,7650,90.0
289,20,206,6,3,70,16,144,9.0
290,20,452,6,3,60,5,500,100.0
291,20,33,6,3,32,8,120,15.0
292,20,767,6,3,31,0,0,0.0
293,20,277,6,3,26,20,700,35.0
294,20,206,6,3,25,6,210,35.0
295,20,435,6,3,17,14,1260,90.0
296,20,725,6,3,15,10,1200,120.0
297,20,15,6,3,14,14,700,50.0
298,20,352,6,3,14,13,1188,95.0
299,20,725,6,3,11,15,18,1.2
300,20,385,6,3,8,8,264,33.0
301,20,213,6,3,6,4,148,37.0
302,20,417,6,3,5,1,52,40.0
303,20,287,6,3,5,3,270,90.0
304,20,213,6,3,5,3,297,90.0
305,20,108,6,3,5,5,400,80.0
306,20,286,6,3,5,15,2590,175.0
307,20,445,6,3,4,3,4,1.2
308,20,412,6,3,4,1,140,100.0
309,20,352,6,3,3,0,0,0.0
310,20,556,6,3,3,0,0,0.0
311,20,619,6,3,3,0,0,0.0
312,20,476,6,3,3,3,210,70.0
313,20,285,6,3,3,3,270,90.0
314,20,167,6,3,3,2,340,170.0
315,20,781,6,3,2,3,18,7.0
316,20,755,6,3,2,4,84,21.0
317,20,421,6,3,1,0,0,0.0
318,20,84,6,3,1,1,120,120.0
319,20,798,6,3,1,1,120,120.0
320,20,865,6,3,1,10,700,70.0
321,20,781,6,3,0,5,200,40.0
322,21,552,6,3,750,440,21120,48.0
323,21,1,6,3,120,100,2000,20.0
324,21,429,6,3,90,100,2800,28.0
325,21,289,6,3,60,60,2100,35.0
326,21,259,6,3,44,50,2000,40.0
327,21,371,6,3,40,18,630,35.0
328,21,878,6,3,39,38,874,23.0
329,21,953,6,3,22,28,700,25.0
330,21,802,6,3,20,1,16,16.0
331,21,216,6,3,20,40,1600,40.0
332,21,104,6,3,19,18,540,30.0
333,21,460,6,3,12,12,216,18.0
334,21,955,6,3,12,10,410,41.0
335,21,117,6,3,12,12,780,65.0
336,21,96,6,3,11,11,330,30.0
337,21,251,6,3,11,10,370,37.0
338,21,726,6,3,10,8,224,28.0
339,21,584,6,3,10,14,560,40.0
340,21,178,6,3,10,10,425,44.7
341,21,669,6,3,8,4,136,34.0
342,21,343,6,3,7,6,138,23.0
343,21,729,6,3,6,5,150,30.0
344,21,708,6,3,5,1,25,25.0
345,21,897,6,3,5,3,84,28.0
346,21,117,6,3,4,0,0,0.0
347,21,54,6,3,4,4,100,25.0
348,21,808,6,3,4,2,38,25.0
349,21,178,6,3,3,0,0,0.0
350,21,234,6,3,3,1,24,24.0
351,21,462,6,3,3,1,33,33.0
352,21,377,6,3,2,2,16,8.0
353,23,299,6,3,90,87,9570,110.0
354,23,61,6,3,24,16,400,25.0
355,23,199,6,3,10,21,1470,70.0
356,23,665,6,3,6,9,90,10.0
357,23,126,6,3,4,5,36,8.0
358,23,61,6,3,3,5,225,45.0
359,23,334,6,3,2,1,10,10.0
360,23,334,6,3,2,1,10,10.0
361,23,126,6,3,2,3,24,8.0
362,23,665,6,3,2,4,156,40.0
363,23,219,6,3,1,8,251,31.0
364,23,607,6,3,1,1,2,3.8
365,23,710,6,3,1,1,100,100.0
366,24,491,6,3,30,30,2880,96.0
367,24,792,6,3,11,11,525,50.0
368,24,600,6,3,10,28,987,35.0
369,24,363,6,3,8,6,150,25.0
370,24,805,6,3,5,5,144,30.0
371,24,411,6,3,4,3,66,22.0
372,24,600,6,3,3,6,261,45.0
373,24,249,6,3,2,2,120,60.0
374,26,687,6,3,126,112,2128,19.0
375,26,587,6,3,100,27,689,25.5
376,26,844,6,3,65,78,3120,40.0
377,26,93,6,3,60,30,600,20.0
378,26,241,6,3,60,50,1750,35.0
379,26,604,6,3,60,50,1750,35.0
380,26,340,6,3,55,15,375,25.0
381,26,764,6,3,50,50,1000,20.0
382,26,212,6,3,40,12,240,20.0
383,26,141,6,3,40,30,1500,50.0
384,26,103,6,3,36,13,279,22.0
385,26,75,6,3,30,28,1624,58.0
386,26,936,6,3,25,10,238,25.0
387,26,161,6,3,25,17,272,16.0
388,26,465,6,3,23,25,1250,50.0
389,26,829,6,3,22,18,630,35.0
390,26,853,6,3,21,15,375,25.0
391,26,736,6,3,20,20,400,20.0
392,26,493,6,3,20,18,504,28.0
393,26,292,6,3,20,22,660,30.0
394,26,982,6,3,18,15,450,30.0
395,26,461,6,3,18,17,323,19.0
396,26,509,6,3,17,15,1125,75.0
397,26,742,6,3,13,12,253,20.4
398,26,172,6,3,12,10,250,25.0
399,26,718,6,3,12,6,156,26.0
400,26,579,6,3,12,5,160,32.0
401,26,209,6,3,12,10,400,40.0
402,26,551,6,3,10,5,125,25.0
403,26,820,6,3,10,8,165,22.0
404,26,900,6,3,10,9,261,29.0
405,26,444,6,3,10,50,2000,40.0
406,26,553,6,3,7,5,500,100.0
407,26,306,6,3,6,6,132,22.0
408,26,325,6,3,6,2,26,16.0
409,26,345,6,3,6,4,120,30.0
410,26,304,6,3,6,3,270,90.0
411,26,740,6,3,6,5,500,100.0
412,26,215,6,3,5,4,12,3.0
413,26,304,6,3,5,4,72,18.0
414,26,182,6,3,5,5,100,20.0
415,26,942,6,3,5,5,100,20.0
416,26,632,6,3,4,3,50,20.0
417,26,508,6,3,4,3,210,75.0
418,26,330,6,3,4,2,24,12.0
419,26,373,6,3,3,0,0,0.0
420,26,49,6,3,3,3,48,16.0
421,26,176,6,3,2,2,4,2.0
422,26,557,6,3,2,0,32,80.0
423,26,272,6,3,1,0,0,0.0
424,26,368,6,3,1,1,15,15.0
425,26,942,6,3,1,1,120,120.0
426,26,357,6,3,1,0,0,0.0
427,26,368,6,3,1,1,50,100.0
428,26,948,6,3,0,0,0,0.0
429,26,357,6,3,0,0,10,32.0
430,26,130,6,3,0,3,45,15.0
431,26,577,6,3,0,2,50,25.0
432,28,382,6,3,320,320,6400,20.0
433,28,122,6,3,65,65,1300,20.0
434,28,171,6,3,30,20,50,2.5
435,28,43,6,3,30,8,104,13.0
436,28,963,6,3,15,13,182,14.0
437,28,963,6,3,10,0,0,0.0
438,28,488,6,3,10,7,210,30.0
439,28,937,6,3,9,38,467,12.3
440,28,616,6,3,6,0,0,0.0
441,28,959,6,3,4,0,0,0.0
442,28,24,6,3,3,3,5,1.5
443,28,721,6,3,0,17,26,1.5
444,29,270,6,3,104,104,2600,25.0
445,29,413,6,3,85,84,1588,18.9
446,29,677,6,3,70,63,630,10.0
447,29,979,6,3,50,25,750,30.0
448,29,910,6,3,40,42,630,15.0
449,29,769,6,3,35,35,875,25.0
450,29,347,6,3,32,27,540,20.0
451,29,17,6,3,32,52,1823,35.2
452,29,952,6,3,30,15,570,38.0
453,29,99,6,3,25,20,560,28.0
454,29,625,6,3,20,0,0,0.0
455,29,813,6,3,20,7,280,40.0
456,29,110,6,3,18,18,396,22.0
457,29,305,6,3,17,21,840,40.0
458,29,692,6,3,15,15,225,15.0
459,29,109,6,3,15,12,1140,95.0
460,29,138,6,3,13,16,264,17.0
461,29,924,6,3,12,3,79,30.0
462,29,685,6,3,10,4,80,20.0
463,29,58,6,3,10,7,84,12.0
464,29,550,6,3,10,5,125,25.0
465,29,120,6,3,10,8,256,32.0
466,29,41,6,3,9,11,330,30.0
467,29,244,6,3,7,8,158,20.0
468,29,129,6,3,6,4,120,30.0
469,29,129,6,3,6,6,120,20.0
470,29,580,6,3,5,4,70,18.5
471,29,685,6,3,5,2,100,50.0
472,29,947,6,3,5,6,150,25.0
473,29,907,6,3,5,4,133,38.0
474,29,907,6,3,4,5,104,23.0
475,29,980,6,3,4,3,120,40.0
476,29,41,6,3,4,4,147,42.0
477,29,980,6,3,3,2,50,25.0
478,29,131,6,3,3,40,800,20.0
479,29,336,6,3,1,2,50,25.0
480,29,435,6,3,1,6,150,25.0
481,29,904,6,3,1,8,188,25.0
482,29,395,6,3,1,1,10,20.0
483,29,263,6,3,0,7,175,25.0
484,29,244,6,3,0,10,230,23.0
485,0,449,6,4,0,1,1,1.0
486,1,602,6,4,270,190,22800,120.0
487,1,486,6,4,188,187,15895,85.0
488,1,210,6,4,120,45,900,20.0
489,1,359,6,4,80,70,7700,110.0
490,1,930,6,4,55,70,8400,120.0
491,1,777,6,4,50,48,5280,110.0
492,1,494,6,4,46,43,4988,116.0
493,1,75,6,4,28,18,1080,60.0
494,1,836,6,4,28,28,3640,130.0
495,1,805,6,4,23,23,2530,110.0
496,1,410,6,4,20,16,1920,120.0
497,1,975,6,4,16,5,105,21.0
498,1,678,6,4,16,10,1200,120.0
499,1,398,6,4,15,1,90,90.0
500,1,149,6,4,15,11,880,80.0
501,1,771,6,4,13,0,0,0.0
502,1,91,6,4,13,15,1050,70.0
503,1,451,6,4,12,11,83,7.5
504,1,312,6,4,10,10,1500,150.0
505,1,119,6,4,8,3,45,15.0
506,1,930,6,4,6,6,44,8.0
507,1,392,6,4,6,4,160,40.0
508,1,396,6,4,6,4,236,59.0
509,1,133,6,4,6,3,300,100.0
510,1,396,6,4,6,4,760,190.0
511,1,87,6,4,5,4,61,16.0
512,1,35,6,4,5,4,80,20.0
513,1,243,6,4,5,5,100,20.0
514,1,783,6,4,5,7,119,17.0
515,1,252,6,4,5,5,150,30.0
516,1,929,6,4,5,9,170,20.0
517,1,29,6,4,5,8,195,26.0
518,1,360,6,4,5,3,630,210.0
519,1,339,6,4,5,6,900,150.0
520,1,892,6,4,5,3,48,16.0
521,1,133,6,4,4,5,50,10.0
522,1,344,6,4,4,4,264,60.0
523,1,58,6,4,4,8,720,90.0
524,1,35,6,4,4,5,750,150.0
525,1,376,6,4,3,2,50,25.0
526,1,630,6,4,3,2,53,22.0
527,1,248,6,4,3,1,140,140.0
528,1,293,6,4,3,2,86,57.0
529,1,793,6,4,2,1,120,120.0
530,1,516,6,4,2,0,0,0.0
531,1,941,6,4,2,2,16,8.0
532,1,337,6,4,2,2,135,90.0
533,1,350,6,4,1,0,0,0.0
534,1,769,6,4,1,1,95,95.0
535,1,314,6,4,1,1,146,133.0
536,1,337,6,4,1,0,0,0.0
537,1,416,6,4,1,1,5,5.0
538,1,209,6,4,1,0,40,100.0
539,1,532,6,4,1,1,50,100.0
540,1,252,6,4,1,1,70,70.0
541,1,152,6,4,1,0,0,0.0
542,1,718,6,4,1,1,55,110.0
543,1,799,6,4,0,1,30,60.0
544,1,892,6,4,0,0,36,90.0
545,1,897,6,4,0,0,22,110.0
546,1,392,6,4,0,0,36,120.0
547,1,350,6,4,0,1,69,138.0
548,1,718,6,4,0,3,90,30.0
549,1,602,6,4,0,70,5880,84.0
550,3,698,6,4,5,4,80,20.0
551,3,611,6,4,0,6,30,5.0
552,3,804,6,4,0,5,90,20.0
553,3,578,6,4,0,6,180,30.0
554,3,676,6,4,0,30,540,18.0
555,5,856,6,4,90,20,1100,55.0
556,5,954,6,4,70,20,2400,120.0
557,5,704,6,4,60,44,2684,61.0
558,5,797,6,4,45,50,5000,100.0
559,5,704,6,4,34,29,4060,140.0
560,5,226,6,4,30,20,400,20.0
561,5,541,6,4,27,18,828,46.0
562,5,671,6,4,25,20,600,30.0
563,5,332,6,4,25,28,980,35.0
564,5,367,6,4,22,14,770,55.0
565,5,565,6,4,22,27,1755,65.0
566,5,889,6,4,20,0,0,0.0
567,5,877,6,4,18,0,0,0.0
568,5,514,6,4,18,18,54,3.0
569,5,271,6,4,15,10,100,10.0
570,5,883,6,4,14,10,248,23.8
571,5,409,6,4,12,5,450,100.0
572,5,106,6,4,10,0,0,0.0
573,5,763,6,4,10,0,0,0.0
574,5,877,6,4,10,0,0,0.0
575,5,409,6,4,10,5,126,28.0
576,5,464,6,4,10,5,200,40.0
577,5,95,6,4,10,8,240,30.0
578,5,857,6,4,9,10,1280,128.0
579,5,503,6,4,8,0,0,0.0
580,5,586,6,4,8,4,160,40.0
581,5,362,6,4,7,0,0,0.0
582,5,810,6,4,7,4,35,8.8
583,5,918,6,4,6,4,260,65.0
584,5,362,6,4,4,0,0,0.0
585,5,694,6,4,4,0,0,0.0
586,5,986,6,4,4,4,500,125.0
